Injury Severity,Latitude,Longitude
No Injury,39.14210667,-77.19286333
No Injury,39.15025775,-77.25101341
Minor Injury,39.15410667,-77.25398333
No Injury,39.191215,-77.244885
No Injury,39.14051833,-77.211825
Minor Injury,38.99247667,-77.03628167
No Injury,39.14091333,-77.21547
No Injury,39.07658333,-76.97351333
No Injury,39.05175167,-77.0514
No Injury,39.01527583,-77.0425365
No Injury,38.992345,-77.07731333
No Injury,39.02228683,-77.10266817
No Injury,39.02228683,-77.10266817
No Injury,39.04714083,-76.98583767
No Injury,39.066925,-77.154085
Minor Injury,39.191885,-77.27200667
No Injury,39.02403667,-77.01128833
No Injury,39.07791333,-77.09006
No Injury,39.04020333,-77.055495
Minor Injury,39.17799167,-77.15276
No Injury,39.05963,-77.05022
No Injury,39.14740187,-77.20587987
No Injury,39.01527583,-77.0425365
No Injury,39.088075,-77.17560833
No Injury,39.17799167,-77.15276
Minor Injury,39.07639333,-77.13846436
Minor Injury,39.16303333,-77.28297833
No Injury,39.13099386,-77.1612324
No Injury,39.009975,-77.04091833
No Injury,39.01135667,-77.00103833
No Injury,39.06997353,-77.07607102
No Injury,38.99844833,-77.03923833
No Injury,39.12985,-77.16359333
No Injury,39.18446723,-77.2547078
No Injury,39.07627863,-77.04580658
No Injury,39.14061945,-77.20215305
No Injury,38.99643505,-77.0280507
No Injury,39.04729595,-77.07507879
No Injury,39.06997353,-77.07607102
No Injury,39.07639333,-77.13846436
No Injury,39.11722772,-77.20117968
No Injury,39.114535,-77.01553
No Injury,39.0097315,-77.08863033
No Injury,39.04729595,-77.07507879
No Injury,39.01527583,-77.0425365
No Injury,39.08357859,-77.14725333
No Injury,39.088075,-77.17560833
No Injury,39.14500626,-77.20285304
No Injury,39.1484,-77.06731667
No Injury,39.03968779,-76.99044344
No Injury,38.993831,-77.0089225
No Injury,38.99643505,-77.0280507
No Injury,39.02403667,-77.01128833
No Injury,39.08590833,-76.93144167
Minor Injury,39.114535,-77.01553
No Injury,39.08590833,-76.93144167
No Injury,39.07494898,-77.11568647
No Injury,39.15436667,-77.25433
No Injury,38.9754896,-76.9951727
No Injury,39.12985,-77.16359333
No Injury,39.191885,-77.27200667
No Injury,39.17754333,-77.23342
No Injury,39.15657167,-77.26663167
No Injury,39.021575,-77.03843167
No Injury,39.05963,-77.05022
Minor Injury,39.16303333,-77.28297833
No Injury,39.114535,-77.01553
Minor Injury,39.20123667,-77.13600333
No Injury,39.05587167,-77.097015
No Injury,38.99844833,-77.03923833
No Injury,39.015898,-76.977678
Minor Injury,39.16303333,-77.28297833
No Injury,39.01135667,-77.00103833
Minor Injury,39.11926371,-77.18242472
No Injury,39.07916349,-77.08729597
No Injury,39.10614617,-77.18978867
Minor Injury,39.07446679,-77.13539485
No Injury,39.04020333,-77.055495
No Injury,38.99903203,-77.02620101
No Injury,39.03585062,-77.02574343
No Injury,39.03585062,-77.02574343
No Injury,39.14740187,-77.20587987
No Injury,39.02403667,-77.01128833
No Injury,39.11926371,-77.18242472
No Injury,39.03556205,-77.02591216
No Injury,39.12985,-77.16359333
No Injury,39.05827354,-77.13013011
No Injury,39.14061945,-77.20215305
No Injury,39.073295,-76.956155
No Injury,39.14404426,-77.20178158
No Injury,39.08429983,-77.134693
No Injury,38.978363,-77.097057
No Injury,39.18048833,-77.26854333
No Injury,38.978215,-77.098181
No Injury,39.10423667,-77.28605833
No Injury,38.9754175,-76.99444667
No Injury,39.01254324,-77.13062453
No Injury,39.09280833,-77.18266833
Minor Injury,39.18114167,-77.26264
No Injury,39.01858342,-77.01433583
No Injury,39.1846,-77.15053167
No Injury,39.022995,-77.06654833
No Injury,39.021895,-77.04727
No Injury,39.01340833,-77.09876667
No Injury,39.04699167,-76.98552167
Minor Injury,38.98427167,-77.08947117
No Injury,39.08862753,-77.1537004
No Injury,38.99701833,-77.02749
Minor Injury,39.01481667,-76.97802167
No Injury,39.02018833,-77.1029
No Injury,39.05492,-76.97299167
No Injury,39.041465,-77.07617667
Minor Injury,39.036445,-77.03849833
No Injury,38.980345,-77.08873833
No Injury,39.04466667,-77.11203667
Minor Injury,39.16442667,-77.29611833
Minor Injury,39.15539167,-77.21578333
No Injury,39.191805,-77.24263167
No Injury,39.013325,-77.04609667
No Injury,39.14432833,-77.06726833
No Injury,39.06426,-77.03934833
No Injury,38.978215,-77.098181
No Injury,39.13883167,-77.20552
Minor Injury,39.02311833,-77.16198167
Minor Injury,39.021895,-77.04727
No Injury,39.14609531,-77.20419393
No Injury,38.99991,-77.01092833
No Injury,39.08385333,-77.15324333
No Injury,38.96871944,-77.13860937
No Injury,39.0932635,-76.96776717
Minor Injury,39.037835,-77.05046167
No Injury,38.986675,-77.09609667
No Injury,39.093325,-77.079475
No Injury,39.15539167,-77.21578333
No Injury,39.01340833,-77.09876667
No Injury,39.01562167,-77.04191333
No Injury,39.15984333,-77.202165
No Injury,39.085035,-77.14857167
No Injury,39.085816,-77.14903583
Minor Injury,39.09554071,-76.93785702
No Injury,39.10035833,-77.18546667
No Injury,39.01400115,-77.0418751
No Injury,39.050085,-77.051895
No Injury,39.05237333,-77.07587
No Injury,39.093325,-77.079475
No Injury,39.02119833,-77.0141
No Injury,39.00254167,-77.182025
No Injury,39.14432833,-77.06726833
No Injury,39.09505145,-77.00436917
No Injury,39.01400115,-77.0418751
No Injury,39.15055667,-77.06156167
No Injury,39.00254167,-77.182025
No Injury,39.05237333,-77.07587
Minor Injury,38.97171667,-77.12430167
Minor Injury,39.19623167,-77.30458667
No Injury,39.02652023,-77.14174269
Minor Injury,38.98350333,-77.01540333
No Injury,39.06596971,-77.07793805
Minor Injury,39.04771333,-76.98536
No Injury,38.99764833,-77.02693
No Injury,38.991545,-77.02677167
No Injury,39.09554071,-76.93785702
No Injury,39.17242667,-77.201515
No Injury,39.27790833,-77.31444167
No Injury,39.0774,-77.11600833
No Injury,39.09263333,-77.194925
No Injury,39.02407667,-76.97905167
No Injury,39.2246,-77.17656667
Minor Injury,39.05349667,-77.06101
No Injury,39.191805,-77.24263167
Minor Injury,39.014065,-77.04201333
No Injury,39.08862753,-77.1537004
Minor Injury,39.037835,-77.05046167
No Injury,39.27339667,-77.20434167
No Injury,39.04005833,-77.05507833
No Injury,38.98823717,-77.0752955
No Injury,39.04826167,-76.98449333
Minor Injury,39.15055667,-77.06156167
No Injury,39.05246,-77.05102833
No Injury,39.08381,-77.15329
No Injury,39.24342,-77.18502667
No Injury,39.085816,-77.14903583
Minor Injury,39.06426,-77.03934833
No Injury,39.08176325,-77.14900135
No Injury,39.10423667,-77.28605833
No Injury,39.17842567,-77.26804667
Minor Injury,38.989265,-77.011485
No Injury,39.041465,-77.07617667
No Injury,39.05156333,-77.075175
No Injury,39.033755,-77.075175
Minor Injury,38.99935623,-76.99069408
No Injury,39.036445,-77.03849833
No Injury,39.04147986,-77.0517256
No Injury,39.00254167,-77.182025
Minor Injury,39.00689833,-76.98036833
No Injury,39.08381,-77.15329
Minor Injury,39.12952,-77.163755
Minor Injury,39.01562167,-77.04191333
Minor Injury,39.02596167,-76.98075167
No Injury,39.02596167,-76.98075167
No Injury,39.02119833,-77.0141
No Injury,38.99946677,-77.07680912
No Injury,39.05349667,-77.06101
No Injury,39.04218833,-77.02981
No Injury,39.05156333,-77.075175
No Injury,39.04699167,-76.98552167
Minor Injury,39.00871667,-77.040425
No Injury,39.18048833,-77.26854333
Minor Injury,39.2246,-77.17656667
No Injury,38.99764833,-77.02693
Minor Injury,39.05599167,-76.95485167
No Injury,39.18019243,-77.26863366
No Injury,39.05583167,-76.97143167
No Injury,38.99701833,-77.02749
No Injury,39.145395,-77.21970167
No Injury,39.08381,-77.15329
Minor Injury,38.98823717,-77.0752955
Minor Injury,39.05127833,-77.12622833
No Injury,39.013325,-77.04609667
No Injury,39.27339667,-77.20434167
No Injury,39.10848167,-76.99768
No Injury,39.17242667,-77.201515
No Injury,39.073765,-76.95557833
Minor Injury,39.27022,-77.21687667
No Injury,39.04771333,-76.98536
No Injury,38.989265,-77.011485
No Injury,39.05583167,-76.97143167
No Injury,39.14432833,-77.06726833
Minor Injury,39.09263333,-77.194925
No Injury,39.05127833,-77.12622833
No Injury,39.04005833,-77.05507833
No Injury,39.14056333,-76.99650833
No Injury,39.0932635,-76.96776717
No Injury,39.02407667,-76.97905167
No Injury,39.01858342,-77.01433583
No Injury,39.01877,-77.01475
No Injury,39.15083667,-77.06214167
No Injury,38.993515,-77.02649167
No Injury,39.00002417,-77.02867517
No Injury,38.99946677,-77.07680912
No Injury,38.99935623,-76.99069408
No Injury,38.97171667,-77.12430167
No Injury,39.24342,-77.18502667
No Injury,39.26071,-77.30911833
No Injury,39.15539167,-77.21578333
No Injury,39.03638667,-77.06242167
No Injury,39.04434167,-77.06342
No Injury,39.08385333,-77.15324333
No Injury,38.996535,-77.02472833
No Injury,39.05902646,-77.0667106
No Injury,39.02407667,-76.97905167
No Injury,38.993515,-77.02649167
No Injury,39.18019243,-77.26863366
No Injury,39.033755,-77.075175
No Injury,39.04147986,-77.0517256
No Injury,39.04434167,-77.06342
No Injury,39.073765,-76.95557833
No Injury,39.199395,-77.260435
No Injury,39.17193833,-77.262545
No Injury,39.05583167,-76.97143167
No Injury,39.10035833,-77.18546667
No Injury,39.15984333,-77.202165
No Injury,39.07925,-77.08675667
No Injury,38.986675,-77.09609667
Minor Injury,39.12952,-77.163755
No Injury,39.04466667,-77.11203667
No Injury,39.254215,-77.18547667
No Injury,39.1846,-77.15053167
No Injury,39.00254167,-77.182025
Minor Injury,39.10035833,-77.18546667
No Injury,38.98350333,-77.01540333
No Injury,39.10848167,-76.99768
No Injury,38.98580571,-77.08680877
No Injury,39.02311833,-77.16198167
No Injury,39.21517333,-77.25112
No Injury,39.04826167,-76.98449333
Minor Injury,39.20672167,-77.24671833
No Injury,39.07925,-77.08675667
No Injury,39.17842567,-77.26804667
No Injury,39.04771333,-76.98536
No Injury,39.00928333,-77.04383333
Minor Injury,39.05492,-76.97299167
No Injury,39.15083667,-77.06214167
No Injury,39.014065,-77.04201333
No Injury,39.09263333,-77.194925
No Injury,39.00776051,-76.9843583
No Injury,39.13883167,-77.20552
No Injury,39.05906167,-77.06584833
Minor Injury,39.20310667,-77.186355
No Injury,39.26071,-77.30911833
Minor Injury,39.17193833,-77.262545
No Injury,39.27339667,-77.20434167
No Injury,39.05246,-77.05102833
Minor Injury,39.00871667,-77.040425
No Injury,39.078025,-77.12807944
Minor Injury,39.18114167,-77.26264
Minor Injury,39.20672167,-77.24671833
No Injury,39.14609531,-77.20419393
No Injury,38.99991,-77.01092833
No Injury,39.013325,-77.04609667
No Injury,39.2246,-77.17656667
No Injury,39.01877,-77.01475
Minor Injury,39.05906167,-77.06584833
Minor Injury,39.01481667,-76.97802167
No Injury,39.254215,-77.18547667
No Injury,38.98166478,-77.00245238
No Injury,39.02652023,-77.14174269
No Injury,39.050085,-77.051895
No Injury,39.00836892,-76.98551812
No Injury,39.06401667,-77.11633333
Minor Injury,39.05599167,-76.95485167
Minor Injury,39.27022,-77.21687667
No Injury,38.98427167,-77.08947117
No Injury,39.01340833,-77.09876667
No Injury,39.21212833,-77.14256667
No Injury,39.00689833,-76.98036833
No Injury,39.199395,-77.260435
No Injury,39.21517333,-77.25112
No Injury,38.99047167,-77.10358167
Minor Injury,38.99643167,-77.03622667
No Injury,39.145395,-77.21970167
No Injury,39.015635,-77.04304167
No Injury,38.99248012,-77.03614172
No Injury,39.085735,-77.14567667
No Injury,38.9797,-77.092125
No Injury,39.0076,-77.21020667
No Injury,38.99725667,-77.02167667
Minor Injury,39.12085167,-77.17518
No Injury,39.090545,-77.05897167
No Injury,38.99903,-77.03127833
No Injury,38.9993958,-77.0315573
Minor Injury,39.047705,-77.098885
No Injury,39.176635,-77.29377667
Minor Injury,39.0247575,-77.04984617
No Injury,38.97737833,-76.99216833
Minor Injury,39.01503,-76.977355
No Injury,39.08167667,-77.14568333
No Injury,39.153265,-77.097165
No Injury,38.9586,-77.109
No Injury,39.014595,-76.996245
No Injury,39.15729433,-77.158314
No Injury,39.07500634,-77.13981134
No Injury,39.0850155,-77.1508005
No Injury,39.032195,-77.04858333
No Injury,39.21891833,-77.424285
No Injury,39.117435,-77.26203833
No Injury,39.05598,-77.11905833
Minor Injury,39.06320833,-77.12793833
No Injury,39.15396833,-77.21041167
Minor Injury,39.011965,-77.15579833
No Injury,39.027105,-77.13258667
No Injury,38.993195,-77.120645
No Injury,38.98435833,-77.13862167
No Injury,39.19006,-77.24159667
No Injury,39.04682833,-77.06769
No Injury,38.98166333,-77.003055
No Injury,39.102855,-77.19119333
No Injury,39.02974,-77.07704333
No Injury,38.999785,-77.0323
No Injury,39.19962,-77.24535833
No Injury,38.99595167,-76.99500833
No Injury,38.99772397,-77.03003017
No Injury,39.038865,-77.05166
Minor Injury,39.19804667,-77.429
Minor Injury,39.03285319,-77.07500881
No Injury,39.07262,-76.95589667
No Injury,39.08518833,-77.07873
No Injury,39.23356574,-77.28262938
No Injury,39.16915667,-77.18933
Minor Injury,39.0998869,-77.1849663
Minor Injury,39.19063317,-77.241894
No Injury,39.16915667,-77.18933
No Injury,39.05572,-77.149545
Minor Injury,39.08457167,-77.05550667
No Injury,39.06309,-77.040795
No Injury,39.14791833,-77.29034667
No Injury,39.07342095,-77.11188485
No Injury,39.14264502,-77.13958861
No Injury,39.15893633,-77.26688017
No Injury,39.10640333,-77.15201833
No Injury,39.15960333,-77.18556333
No Injury,39.18292167,-77.26118833
No Injury,39.15729433,-77.158314
No Injury,39.21783,-77.23865833
No Injury,39.01029333,-77.11438833
No Injury,39.073295,-76.956155
Minor Injury,39.111945,-77.18697167
No Injury,39.04092167,-77.0521
No Injury,38.98837752,-77.07721017
No Injury,38.999785,-77.0323
No Injury,38.96429,-77.102975
No Injury,39.12717167,-77.24038667
No Injury,39.19769333,-77.143985
Minor Injury,39.18013167,-77.26865833
No Injury,39.14771,-77.23331
No Injury,39.02200333,-76.97731833
No Injury,39.15059333,-77.17439833
No Injury,39.0128,-77.16
No Injury,39.2860652,-76.87009644
No Injury,39.15077986,-77.20336339
No Injury,39.08692667,-76.95928167
Minor Injury,39.04603167,-77.06837
Minor Injury,39.11215142,-77.16183609
Minor Injury,38.99119167,-77.15766167
No Injury,39.08692667,-76.95928167
No Injury,39.04607872,-77.19150971
No Injury,39.14384,-77.20163667
No Injury,39.03203,-77.04849167
No Injury,38.98811635,-77.08240325
No Injury,38.99716167,-76.99379667
No Injury,39.18112667,-77.27658333
No Injury,39.02200333,-76.97731833
No Injury,39.13344833,-77.205905
No Injury,39.022095,-76.97764333
Minor Injury,39.046515,-76.98704
No Injury,38.98801667,-77.08262667
No Injury,39.00855667,-77.04126167
Minor Injury,39.03595,-77.03634167
No Injury,38.99831333,-77.00667833
No Injury,39.14895183,-77.01237383
No Injury,39.24383833,-77.185805
No Injury,39.17549591,-77.23797365
No Injury,39.05955667,-77.048275
No Injury,39.14047061,-77.21079471
No Injury,39.13984333,-77.22192667
Minor Injury,39.14648333,-77.23042667
No Injury,38.99800667,-77.03448333
No Injury,39.09183294,-77.07035909
No Injury,39.06147667,-76.99829
No Injury,39.02658333,-77.12605833
Minor Injury,39.03595,-77.03634167
Minor Injury,39.16355654,-77.284482
Minor Injury,38.99452592,-77.03641085
No Injury,39.05651667,-77.12626667
Minor Injury,39.01319333,-77.00404667
No Injury,39.11741833,-77.16898
No Injury,39.19804667,-77.429
Minor Injury,39.06879667,-77.046105
No Injury,39.19006,-77.24159667
Minor Injury,38.99259781,-77.16182777
No Injury,39.05572,-77.149545
No Injury,39.03776167,-77.05022667
Minor Injury,39.215515,-77.25256667
No Injury,39.143715,-77.22366
No Injury,39.15960333,-77.18556333
No Injury,39.051915,-77.07489
No Injury,39.08258667,-76.94832
No Injury,39.11009333,-77.07431333
No Injury,39.14329,-77.140295
No Injury,39.06145833,-77.15471
No Injury,39.18112667,-77.27658333
No Injury,39.14634,-77.22773833
Minor Injury,39.0998869,-77.1849663
No Injury,39.17045067,-77.26306267
No Injury,39.14047061,-77.21079471
No Injury,39.093339,-77.13165183
No Injury,39.04603167,-77.06837
No Injury,39.18544333,-77.189215
No Injury,39.12085167,-77.17518
Minor Injury,39.16084,-77.163385
No Injury,38.98529313,-76.99899669
No Injury,38.99653667,-77.09645333
Minor Injury,39.1588215,-77.27513083
No Injury,39.12899833,-77.23814167
No Injury,39.05627333,-76.97147833
Serious Injury,39.09729333,-77.09769
No Injury,39.14791833,-77.29034667
Minor Injury,39.040035,-77.05216833
No Injury,39.109205,-77.07623167
Minor Injury,39.11741833,-77.16898
No Injury,39.08263833,-77.21711333
No Injury,39.12904667,-77.166495
No Injury,39.011613,-77.00360083
No Injury,38.9665211,-77.10599145
No Injury,39.02556046,-76.98063057
No Injury,39.14264502,-77.13958861
No Injury,39.12917495,-77.20777482
No Injury,39.176635,-77.29377667
Minor Injury,39.03776167,-77.05022667
No Injury,39.06339,-77.08989833
No Injury,39.15396833,-77.21041167
No Injury,39.0784,-76.98140333
No Injury,38.98529313,-76.99899669
No Injury,39.117435,-77.26203833
No Injury,39.06147667,-76.99829
No Injury,38.99575333,-76.99219833
No Injury,39.05596667,-77.08171
No Injury,38.99575333,-76.99219833
No Injury,39.02556046,-76.98063057
No Injury,39.05651667,-77.12626667
No Injury,38.99671,-77.02771833
No Injury,38.99369333,-77.002255
No Injury,38.97513,-76.99726
Minor Injury,38.99903,-77.03127833
Minor Injury,39.06320833,-77.12793833
No Injury,39.13344833,-77.205905
Minor Injury,39.027105,-77.13258667
No Injury,39.046515,-76.98704
No Injury,39.19962,-77.24535833
No Injury,38.97327667,-77.178565
No Injury,39.20477333,-77.140545
Minor Injury,39.10295167,-77.222325
No Injury,39.06394833,-77.12755333
No Injury,39.03926667,-77.05478667
No Injury,39.04682833,-77.06769
No Injury,38.99383,-77.05212667
No Injury,39.05566667,-77.06288667
No Injury,39.26905333,-77.15221333
Minor Injury,39.22708833,-77.28201833
Minor Injury,39.17694,-77.27024333
Minor Injury,39.18762333,-77.02475
No Injury,39.02200333,-76.97731833
No Injury,38.999785,-77.0323
Minor Injury,39.07262,-76.95589667
No Injury,38.97513,-76.99726
Minor Injury,39.022095,-76.97764333
No Injury,39.26905333,-77.15221333
No Injury,39.01409902,-77.00424518
No Injury,39.315135,-77.19824167
No Injury,38.993195,-77.120645
No Injury,39.12904667,-77.166495
Minor Injury,39.1795175,-77.2381535
No Injury,39.11370333,-77.1710695
No Injury,39.0152112,-76.9768841
No Injury,39.24404,-77.23463833
No Injury,39.05339167,-77.08958167
Minor Injury,39.0638679,-77.22989277
Minor Injury,39.111945,-77.18697167
Minor Injury,39.04979167,-77.071365
No Injury,38.99772397,-77.03003017
No Injury,38.99903,-77.03127833
No Injury,39.08263833,-77.21711333
No Injury,39.17045067,-77.26306267
Minor Injury,39.24404,-77.23463833
No Injury,39.05382833,-77.09252833
No Injury,38.96919683,-77.13825933
Minor Injury,39.0682964,-77.06096885
No Injury,38.99800667,-77.03448333
No Injury,38.99378849,-76.99103481
Minor Injury,38.999785,-77.0323
Minor Injury,39.040035,-77.05216833
Minor Injury,38.98801667,-77.08262667
Minor Injury,39.17694,-77.27024333
No Injury,39.17270983,-77.20354017
No Injury,38.98435833,-77.13862167
No Injury,38.99595167,-76.99500833
No Injury,39.18292167,-77.26118833
No Injury,39.19769333,-77.143985
No Injury,38.9993958,-77.0315573
Minor Injury,39.12917495,-77.20777482
No Injury,39.06209833,-77.09154333
No Injury,39.2002,-77.02536
No Injury,39.16800667,-77.205625
No Injury,39.117435,-77.26203833
No Injury,39.04092167,-77.0521
No Injury,39.00550833,-77.10241333
No Injury,39.17271117,-77.20147333
No Injury,39.05382833,-77.09252833
Minor Injury,39.14406333,-77.19619833
No Injury,38.98166333,-77.003055
No Injury,39.05598,-77.11905833
No Injury,39.14406333,-77.19619833
No Injury,39.00736,-76.99500167
Minor Injury,39.19006,-77.24159667
Minor Injury,39.011613,-77.00360083
Minor Injury,39.04979167,-77.071365
No Injury,39.05339167,-77.08958167
No Injury,39.1595,-77.20917
No Injury,39.094045,-77.08920833
Minor Injury,39.03285319,-77.07500881
No Injury,39.01409902,-77.00424518
Minor Injury,39.15264667,-77.295825
No Injury,38.96987769,-77.0892252
No Injury,39.109205,-77.07623167
Minor Injury,39.10295167,-77.222325
Minor Injury,39.08661487,-77.07380151
No Injury,39.00736,-76.99500167
No Injury,38.97737833,-76.99216833
No Injury,39.090218,-77.129259
No Injury,39.093339,-77.13165183
No Injury,39.01029333,-77.11438833
No Injury,39.21015833,-77.239205
No Injury,39.09426167,-77.10268
No Injury,39.03671667,-77.05157167
No Injury,38.98972667,-77.030625
No Injury,39.094045,-77.08920833
No Injury,39.20359827,-77.18740789
No Injury,39.24404,-77.23463833
Minor Injury,39.0682964,-77.06096885
No Injury,39.00550833,-77.10241333
No Injury,39.01495333,-77.04255333
No Injury,39.17270983,-77.20354017
No Injury,39.01495333,-77.04255333
No Injury,39.0784,-76.98140333
No Injury,39.06309,-77.040795
Minor Injury,39.11136333,-76.93222833
Minor Injury,39.01883767,-77.01394462
No Injury,39.09574833,-77.109905
No Injury,39.19324333,-77.15274333
No Injury,39.04920667,-77.07006
No Injury,39.02974,-77.07704333
No Injury,39.04607872,-77.19150971
No Injury,39.15059333,-77.17439833
Minor Injury,39.011965,-77.15579833
No Injury,39.153265,-77.097165
No Injury,39.01503,-76.977355
No Injury,39.08167667,-77.14568333
No Injury,39.01968333,-77.06431261
No Injury,39.00329333,-77.0774
No Injury,39.14771,-77.23331
No Injury,39.15264667,-77.295825
No Injury,39.06147667,-76.99829
No Injury,39.22708833,-77.28201833
No Injury,39.11136333,-76.93222833
No Injury,38.96429,-77.102975
Minor Injury,39.06145833,-77.15471
No Injury,38.9665211,-77.10599145
No Injury,39.21891833,-77.424285
No Injury,39.0128,-77.16
No Injury,39.06879667,-77.046105
No Injury,39.05999333,-77.070025
No Injury,39.08518833,-77.07873
No Injury,39.0850155,-77.1508005
Minor Injury,39.143715,-77.22366
No Injury,39.12717167,-77.24038667
No Injury,39.05627333,-76.97147833
No Injury,39.2555145,-77.27504683
No Injury,39.17781167,-77.27187667
No Injury,39.0666,-76.985315
No Injury,39.05596667,-77.08171
No Injury,39.08661487,-77.07380151
No Injury,39.05333167,-77.08928167
No Injury,39.18013167,-77.26865833
No Injury,39.03464167,-77.10352833
Minor Injury,39.01968333,-77.06431261
No Injury,39.093339,-77.13165183
Minor Injury,39.14329,-77.140295
No Injury,39.16355654,-77.284482
No Injury,38.9994885,-76.99583417
No Injury,38.99259781,-77.16182777
No Injury,39.056195,-77.13256333
No Injury,38.99716167,-76.99379667
No Injury,38.97327667,-77.178565
No Injury,39.03926667,-77.05478667
No Injury,39.10640333,-77.15201833
Minor Injury,39.09324,-77.07971333
Minor Injury,39.16355654,-77.284482
No Injury,39.13984333,-77.22192667
No Injury,39.102855,-77.19119333
No Injury,39.09304541,-77.12276986
No Injury,39.19063317,-77.241894
No Injury,39.00329333,-77.0774
No Injury,39.03106333,-77.00478667
No Injury,39.02218482,-77.08838146
No Injury,39.067881,-77.081679
No Injury,38.99367333,-76.99268333
No Injury,39.15893633,-77.26688017
No Injury,39.08086167,-77.14998833
No Injury,39.0247575,-77.04984617
No Injury,39.03465833,-77.124705
No Injury,39.14771,-77.23331
No Injury,39.2002,-77.02536
Minor Injury,38.999785,-77.0323
No Injury,39.14384,-77.20163667
No Injury,39.038865,-77.05166
No Injury,38.993195,-77.120645
No Injury,39.094045,-77.08920833
No Injury,39.06209833,-77.09154333
No Injury,38.96919683,-77.13825933
No Injury,39.090218,-77.129259
No Injury,39.09183294,-77.07035909
Minor Injury,39.10069156,-77.05869484
No Injury,39.17549591,-77.23797365
Minor Injury,39.00609167,-77.07839667
No Injury,39.04979167,-77.071365
No Injury,38.993195,-77.120645
No Injury,39.07500634,-77.13981134
Minor Injury,39.051915,-77.07489
Minor Injury,39.01319333,-77.00404667
No Injury,38.99831333,-77.00667833
No Injury,39.16105698,-77.27960336
No Injury,39.09574833,-77.109905
No Injury,39.03203,-77.04849167
No Injury,38.99383,-77.05212667
No Injury,39.14329,-77.140295
No Injury,39.15396833,-77.21041167
No Injury,38.99119167,-77.15766167
No Injury,39.1795175,-77.2381535
No Injury,39.00855667,-77.04126167
No Injury,39.04815667,-77.02591833
Minor Injury,39.0076,-77.21020667
No Injury,39.14648333,-77.23042667
No Injury,39.16512667,-77.21510833
